id;table_usage;db_selection;table_name;has_data_more_than_5_million;is_parallelization_reqd;recovery_class;order_id
1;input;kelvin Senior program;black;true;false;vitae;87967
2;override Curium Altamonte;pink forecast;psst composite;true;true;Salad male;64670
3;inasmuch;program Classical;port Kids;true;true;Jeep;67577
4;Dynamic Sunnyvale;mobile Bedfordshire;Nebraska South;false;false;envisioneer within Handmade;34768
5;Account alarm Funk;Rubber;female platforms inasmuch;true;false;Gender Data woman;21765
6;Audi West;Cotton extranet;female;true;false;Gallium murky orchestration;99729
7;Palladium Concrete withdrawal;North scalable;Account Hybrid;false;true;Diesel bare Flower;51931
8;lest;Brand generating innovate;networks Planner;true;false;Integrated Extended;30384
9;necessitatibus;seeder neatly East;Borders;false;true;compelling;50422
10;synthesize than;male;services;true;true;CLI Account huzzah;44956
