id;swid;db_name;expiry_date;status;hddl
1;driver;Card bandwidth;2023-10-23;Automotive on Merced;../fake-data/blob/hipster.txt
2;Streich;Rubber;2023-10-23;robust Assurance;../fake-data/blob/hipster.txt
3;Internal rebrand woot;Avon viral Loan;2023-10-24;alarm;../fake-data/blob/hipster.txt
4;fully promptly Rial;Bicycle;2023-10-23;South;../fake-data/blob/hipster.txt
5;siemens Cove Soft;terrific glamorize tertiary;2023-10-24;Bicycle;../fake-data/blob/hipster.txt
6;metrics Lauderhill models;Azerbaijan;2023-10-24;Accountability Chair Electric;../fake-data/blob/hipster.txt
7;Brunei North;Samoa;2023-10-23;seamless platforms;../fake-data/blob/hipster.txt
8;Massachusetts pish;Kia;2023-10-23;Rap anenst;../fake-data/blob/hipster.txt
9;Pop adapter HDD;withdrawal VGA;2023-10-23;Danish interactive;../fake-data/blob/hipster.txt
10;Jeep;Trans Montana;2023-10-24;Dodge siemens Hat;../fake-data/blob/hipster.txt
