id;lookup_code;lookup_value;description;display_sequence;view_name;category;dependent_code;is_active
1;Personal streamline;frame interface;optimize;9064;District Silver;transition River;Concrete drive;false
2;Androgynous Scranton Bacon;Account;Gasoline Bicycle technologies;61394;Shoes Transexual;Country Greenville;override Customer North;false
3;orchid reboot;Minivan West Sleek;Bicycle;92920;Tunisia collaborative;Bentley circa Thorium;Avon yellow;true
4;Northeast Robust;Texas vortals;Future Small quas;73133;syndicate dynamic red;F2M bus;yum Urban glass;true
5;retaliate OCR;Gasoline now;Tricycle;68843;hard Industrial;truss Californium;gadzooks architectures Industrial;false
6;Harrisonburg;katal Future Irvine;Handmade;26808;synthesizing Integration;microchip Central South;cc Southeast Folk;true
7;Southeast Gate Zimbabwe;Savings South;katal sexy;21593;mechanically Manat;Division Officer North;male Designer;true
8;Bedfordshire;Cambridgeshire lime;grow seamless;86686;Analyst secured;synergistic Bespoke;Shirley withdrawal;true
9;Chair Arizona;quantify Jaguar;East Assurance Licensed;80826;East even;Waco hm;Towson;true
10;Berkshire;Spring Borders cyan;darn transmit;12536;Southeast;Southeast Account;lime disinvest;true
