id;stid_class;stid_column_name;data_level;initial_load_type;partition_schema;order_id
1;Modern ea;Savings;infrastructures;compress unde;system Car transition;72102
2;compress boohoo alarm;Field HDD;backing South;Concrete Senior;circumscribe;5989
3;olive Rap panel;newton;Music whereas;female Toys evolve;athwart portals;13462
4;furthermore Savings Malagasy;purple tesla;Borders;Marquis innocently compressing;East Luxurious;31439
5;Ball Customer explicabo;woman;Gasoline;JBOD;West Trial;69755
6;even;white Denar female;Bike green;applications;green Intranet Convertible;70775
7;Bicycle kelvin;traumatic;microchip;Buckinghamshire omnis Modern;Northwest;67266
8;Nakfa Tricycle velvety;till Baby;withdrawal;steradian Nebraska Direct;bore Hybrid Iceland;797
9;Arsenic;yahoo brightly Yttrium;honoree Markets;Genderqueer transform;benchmark;68141
10;oof SAS;East Volvo Licensed;Chips;Southwest Consultant;monetize Metal Argon;52652
