id;mandator_column;is_hub_usage_reqd;insert_chars;table_access_method;one_wmp_view;order_id
1;invoice exploit;false;Ball;pink;invoice violet Communications;74230
2;Little Cerium;false;rummage Fresh Modern;Horizontal Keyboard cautiously;honk Diesel Configuration;14717
3;microchip Executive Checking;true;except Refined wisely;Shilling bargain;Supervisor South;21842
4;Gasoline IB;true;intermingle pink deposit;South indexing Table;Pascale;2604
5;neural Southwest finally;false;parallelism;innovative Chrysler Awesome;focus sedately Borders;83025
6;And;false;lime inasmuch belfry;Royce;Northeast interactive Diesel;158
7;Elegant;false;Extended autem;Tactics;Mouse;21927
8;Wooden structure;false;transmit Paradigm;Alaska Shoes sky;Account;15115
9;redundant Chrysler what;false;loftily Division;Forward Kia Directives;Sylvan Antimony;72254
10;salmon synthesize;true;Expanded payment;male Keyboard;Towels monetize;62258
