id;rfc;swid;status;is_draft;request_link
1;responsive Folk;Funk;generation female screw;true;hood towards
2;Principal Bacon Direct;West methodology Southwest;Southeast;false;Lamborghini Direct
3;Minivan aut worthy;volt reintermediate;copy North Texas;false;Credit Southeast
4;Palau violet;hacking consequently wet;Alabama;false;Panama Facilitator Hybrid
5;Infrastructure female Fresh;Loan Carolina;Credit female;true;Wooden
6;while newton;Hybrid;Health Tuna;true;Visionary
7;green Southeast;Security capitalism;Bicycle;true;Table maroon
8;female schemas;Refined Japan invoice;Van;true;connect watt
9;Electronic Summit;Circle boliviano drat;Checking Pound;false;Liaison
10;noisily;Classical lest;Southwest calculate;true;Diesel gold gosh
