id;request_id;notes;status;due_date
1;69389;Northwest Tamarac;Research coulomb;2023-09-11
2;16791;interface Steel;District Fresh bandwidth;2023-09-12
3;19398;odit Delores parse;East;2023-09-11
4;23516;Barbados aperiam;Dalasi static;2023-09-12
5;70640;like Berkshire parse;Cargo Fresh;2023-09-11
6;61567;Chips;Creative Recumbent;2023-09-11
7;53148;digital District ha;payment;2023-09-11
8;94752;Washington;readily ivory THX;2023-09-12
9;94549;East withdrawal;orange Bicycle;2023-09-11
10;14821;weber hierarchy Personal;West;2023-09-11
